池田樹雷人	Ikeda Tree Raito
国家宫 墨西哥	national palace mexico
米尔顿 肯塔基州	Milton, Kentucky
定点清除	spot clear
張蓉馨	Zhang Rongxin
国家国防科技工业局	State Administration of Science, Technology and Industry for National Defense
蒂罗尔因斯布鲁克足球俱乐部	Tyrolean Innsbruck Football Club
許瑋甯	Xu Weining
新世界 電視劇	New World TV Series
蒂图 利维乌 马约雷斯库	Titu Liviu Maiorescu
西北大學協會	Association of Northwestern Universities
丹尼士 馬素爾	Dennis Marcell
聖安東尼奧馬刺	San Antonio Spurs
渚碧岛	Subi Island
意大利 歲以下國家足球隊	Italy under-year national football team
歐利華	Oliver
律动	rhythm
哈伊姆 魏茨曼	Chaim Weizmann
施巴斯坦 拿臣	Shibastan Nathan
科森扎足球會	Cosenza Football Club
莫斯科中山大学	Sun Yat-sen University in Moscow
国际刑警组织	Interpol
諒山市	Lang Son
日野康子	Hino Yasuko
陳元光	Chen Yuanguang
瑞克 盧賓	Rick Lubin
西弘則	Nishihiro
甄志鵬	Zhen Zhipeng
奥古斯特 威廉 施莱格尔	August Wilhelm Schlegel
张术平	Zhang Shuping
穆罕默德 鲁姆	Mohammad Rum
卡山札基	Kashanzaki
格蘭 提普頓	Grant Tipton
藍寶堅尼	Lamborghini
濱田靖一	Hamada Yasuichi
麦迪亚省	mediyah
阿爾巴尼亞族	Albanian
伏見區	Fushimi Ward
查理 布考斯基	Charlie Bukowski
史丹利 米勒	Stanley Miller
亞歷山德拉 尼古拉耶夫娜女大公 黑森 卡塞爾王妃	Alexandra Nikolaevna Archduchess Hesse Princess Kassel
陈舜	Chen Shun
五星上将	five star general
雅明 艾智仁	Ya Ming Ai Zhiren
日本職業足球聯賽	Japan Professional Football League
伊利耶 瑟尔布	Elijah Thirb
普兰县	Plan County
鹽湖縣	Salt Lake County
蔣家旻	Jiang Jiamin
南部非洲	southern africa
不速之約	uninvited date
池田真美子	Mamiko Ikeda
陳銘鴻	Chen Minghong
黃偉文	Huang Weiwen
亚美尼亚高原	Armenian Plateau
马丁 雷德梅尼	Martin Redmayne
奧托 布勞恩	Otto Braun
上海育碧	Ubisoft Shanghai
贝鲁特美国大学	American University of Beirut
丁卡人	Dinka
詹姆斯 格思里	James Guthrie
唐佳丽	Tang Jiali
中国人民政治协商会议	Chinese People's Political Consultative Conference
張光世	Zhang Guangshi
一片空白	Blank
忠奸人 電視劇	Faithful Traitor TV Series
郭峰	Guo Feng
丹尼爾 賀治	Daniel Hodge
菲利普 羅斯	Philip Ross
邵曉鈴	Shao Xiaoling
吉塞拉 奥里	Gisela Ori
克里奧人	Creole
回到三國	back to the Three Kingdoms
安德雷斯 克里斯滕森	Andres Christensen
埃德蒙 巴顿	Edmund Barton
安德烈 卡西拉奇	Andrei Casiraghi
费利克斯 格伦迪	Felix Grundy
国安	National Security
一黨制	one-party system
希臘城邦	greek city-state
巽他 苏拉威西语群	Sundanese Sulawesi group
凱斯琳 甘迺迪 電影監製	Kathleen Kennedy Film Producer
攝政	regent
穆罕默德 萨利姆 巴桑杜	Mohammad Salim Basandu
陳鎮源	Chen Zhenyuan
哈桑 舍夫凯特 阿达兰	Hassan Shevket Adalan
萨马拉苏维埃之翼足球俱乐部	Samara Soviet Wings Football Club
權純泰	Kwon Chun-tae
内間安路	Neijian Road
李玖	Li Jiu
林園區	forest area
纯穆大院妃	Concubine of Chunmu Courtyard
河合宏	Kawai Hiroshi
弗朗索瓦 拉伯雷	Francois Rabelais
曼徹斯特城足球俱乐部	Manchester City Football Club
野田佳彥	Yoshihiko Noda
白鹿徑球場	White Hart Field
中華民國 大陸時期	Republic of China Mainland period
汉斯 格特 珀特林	Hans Gert Poetling
吳煒倫	Wu Weilun
北愛爾蘭超級足球聯賽	Northern Ireland Premier League
第二次瓜分波蘭	Second partition of Poland
腓特烈二世 神圣罗马帝国	Frederick II Holy Roman Empire
波利娜 姆巴	Paulina Mba
刘云山	Liu Yunshan
范克林	Van Klein
漢諾瓦王朝	Hanoverian dynasty
法国共产主义学生联盟	french communist student union
海因里希 吕布克	Heinrich Lübeck
聖西蒙及裘德堂	St Simon and Jude Church
馬修 派瑞	Matthew Perry
基斯 高文 足球員	Keith Gawain football player
達拉斯縣 愛阿華州	Dallas County Iowa
亨利 菲尔丁	Henry Fielding
綠島鄉	Green Island Township
济州国际机场	Jeju International Airport
新羅謝爾 紐約州	New Rochelle, New York
美国海军陆战队	United States Marine Corps
圭多 德马科	Guido DeMarco
烏鉞	Wu Yue
米拉 福兰	Mira Foran
罗曼 瓦莱什	Roman Wallace
玛丽公主 哈伍德伯爵夫人	Princess Mary, Countess of Harwood
和硕和嘉公主	Heshuo and Jia princess
上海动车段	Shanghai EMU
喬治 賀伯特 米德	George Hubbard Mead
玛姬 格蕾斯	Maggie Grace
翁贝托 阿伦卡尔 卡斯特略 布朗库	Umberto Alencar Castello Brancu
皇学研究所	Royal Institute
none 年歐洲聯賽	none Europa League
天命真女	Destiny girl
亞歷山大 黑森 達姆施塔特	Alexander Hesse Darmstadt
詹姆斯 鲍登	James Bowden
四谷站	Yotsuya Station
英国国家足球队	England National Football Team
幸福的钟声	happy bell
加里亞 那爾玻年西斯	Gallia Narbonensis
斯洛文尼亞國家足球隊	slovenia national football team
普羅科皮斯 帕夫洛普洛斯	Procopius Pavlopoulos
僧伽罗语	Sinhala
缅甸国	Myanmar
大学体育场	University Stadium
隆格瑞莫	Longoremo
伊利 賓夕法尼亞州	Erie Pennsylvania
貝克 波加特與阿比特	Baker Pogart and Abit
索姆河战役	Battle of the Somme
他加祿語	Tagalog
彭清华	Peng Qinghua
馬什哈德	Mashhad
萨迪什 达万航天中心	Sadish Dhawan Space Centre
河北師範大學	Hebei Normal University
tomislav ivković	tomislav ivković
神奈川條約	Treaty of Kanagawa
后藤润二	Goto Junji
伊奈町	Ina Town
弗朗索瓦 亨利 皮诺	Francois Henri Pinault
電影發行	film distribution
刀根亮輔	Toni Ryosuke
珍妮特 耶伦	Janet Yellen
正東唱片	Zhengdong Records
巴耶济德帕夏	bayezid pasha
玛格丽特公主 希腊	princess margaret greece
格雷夏姆 巴列特	Gresham Barrett
瑞典語	Swedish
约翰 洛克	John Locke
凤阳县	Fengyang County
長元	Changyuan
濃姬	Nohime
平原大君	Plain Lord
廣澤局	Guangze Bureau
英國空軍上將	british air force admiral
芬兰共和国	Republic of Finland
辛普森一家	The Simpsons
罗伯 波特曼	Rob Portman
塞維利亞足球俱樂部	sevilla football club
菲莱	Philae
罗正富	Luo Zhengfu
史密斯學院	Smith College
自由民主党	Liberal Democrats
聲名狼藉先生	mr infamous
美茵河畔法蘭克福	Frankfurt am Main
南浦特別市	Nampo Special City
蒙古字母	Mongolian alphabet
印度	India
長墻街	long wall street
维也纳学派	Vienna School
农村	rural
杨正午	Yang Zhengwu
尼亚加拉河	Niagara River
枣庄市	Zaozhuang City
匈牙利王國	Kingdom of Hungary
塞维鲁二世	Severus II
明打威族	Mentawai
贝尼诺 扎卡尼尼	benino zaccanini
冯刚 足球运动员	Feng Gang football player
克拉斯诺达尔	Krasnodar
沈呂巡	Shen Luxun
none 伍勒斯登	none Woollesden
秦宜智	Qin Yizhi
联合左翼 西班牙	United Left Spain
阿尔芒 马克 蒙莫兰伯爵	Armand Marc Count of Montmoran
安地斯山脈	Andes
蔡偉豪	Cai Weihao
器樂搖滾	instrumental rock
希勒 斯洛伐克	Hiller Slovakia
瑞秋 唐尼爾森 羅伯茲	Rachel Don Nelson Roberts
弗里德伯格 施蒂里亚	Friedberg Styria
俄羅斯海外正教會	Russian Orthodox Churches Abroad
漢諾威醫學院	Hannover Medical School
徐洛鏘	Xu Luoqiang
流行電音	popular electronic music
都柏林郵政區號列表	Dublin postcode list
马克西姆 马克西莫维奇 李维诺夫	Maxim Maksimovich Litvinov
漢斯 曾克爾	Hans Zenkel
莫爾豪斯學院	Morehouse College
file 明宣宗画像 jpg	file Ming Xuanzong portrait jpg
公立大学	Public universities
泽基 塞泽尔	Zeki Cesaire
尹荣善	Yin Rongshan
張成赫	Jang Sung Hyuk
孟加拉空軍	Bangladesh Air Force
加利福尼亚州参议院	California State Senate
保羅 亨利 夏爾 斯巴克	Paul Henry Shire Spark
伊斯法罕	isfahan
民主行動黨 馬來西亞	DAP Malaysia
圣彼得堡泽尼特足球俱乐部	Zenit St Petersburg Football Club
克爾科諾謝山	karkonosze
劍橋大學莫德林學院	Magdalen College, University of Cambridge
富兰克林 德里隆	Franklin Drilon
国家历史文化名城	National historical and cultural city
內務部	Ministry of the Interior
塞浦路斯盃	Cyprus Cup
başcalia	başcalia
马华公会	MCA
本體	ontology
民族足球俱乐部	national football club
邦比自治市	Municipality of Bombi
摩洛哥	Morocco
比尔森	Bilson
英國軍團	British Legion
裘德	Jude
鄭雨盛	Zheng Yusheng
岡田幸樹	Okada Yukiki
联合国儿童基金会	UNICEF
敦明亲王	Prince Tonmin
开普敦市政厅	Cape Town City Hall
阿尔梅勒城足球俱乐部	Almere City Football Club
葉問 電視劇	Ip Man TV Series
天堂执法者	Heaven Enforcer
纳齐姆 库德西	Nazim Kudsi
三门峡水利枢纽	Sanmenxia Water Control Project
马来西亚国会	Malaysian Parliament
格里戈里 索柯里尼柯夫	Grigory Sokolnikov
馬來人 ethnic group	Malay ethnic group
貝萊斯沙士菲體育會	Velez Shastafie Athletic Association
士砵亭水晶	Pottery Crystal
鄱阳湖	Poyang Lake
欧洲联盟委员会	European Commission
大学校	big school
洪利娜	Hong Lina
國立屏東大學	National Pingtung University
江沙	Jiangsha
恭子女王	Queen Kyoko
阿里 穆罕默德 穆贾瓦尔	Ali Muhammad Mujawar
襄陽市	Xiangyang City
雷恩足球俱乐部	Rennes Football Club
李永喆	Li Yongzhe
汶萊國家足球協會	Brunei National Football Association
卡米什利	Kamishli
克莱孟七世	Clement VII
羅納省	Rhone
洛伦佐二世 美第奇	Lorenzo II Medici
阿富汗尼	Afghani
stade de épopée	Stade de épopée
朝鲜战争	Korean War
修羅場 東京事變單曲	Shura Field Tokyo Incident Single
米兰 什克里尼亚尔	Milan Skriniar
梅奈	Menai
復仇者	the Avengers
卡尔一世 符腾堡	Karl I of Württemberg
莫里斯 阿莱	Morris Alley
熱那亞足球俱樂部	Genoa Football Club
費爾芒特鎮區 巴特勒縣	Fairmount Township Butler County
八打靈再也	Petaling Jaya
brother唱片	brother record
克罗地亚总统	President of Croatia
空中客车a	Airbus a
亚历山大 斯图布	Alexander Stubb
權俞利	Kwon Yuri
工黨 馬爾他	Labour Party Malta
天可汗	Khan
霍兆剛	Huo Zhaogang
電子舞曲	electronic dance music
埃米勒 博雷尔	Emile Borrell
阿盖尔公爵	Duke of Argyll
中華民國國務總理	Prime Minister of the Republic of China
彭薩勒瑪 奧其爾巴特	Pensalma Ochirbart
多元文化	Multiculturalism
电子	electronic
米基	Mickey
蒙大拿州立大學	Montana State University
米切尔 戈捷	Mitchell Gauthier
陳煒 藝人	Chen Wei Artist
三軍情報委員會	ISI
美国国家数学研究所	National Mathematical Institute
法语	French
常陸宮正仁親王	Prince Masahito Hitachi
欧洲女子足球锦标赛	European Women's Football Championship
社會民主黨 冰岛	Social Democrats Iceland
普罗旺斯的埃莉诺	Eleanor of Provence
讲谈社	Kodansha
利哈伊縣	Lehigh County
真爱如血 第一季	True love is like blood season 1
宋飞的视野	Seinfeld's Vision
哈吉 奥马尔 邦戈	Haji Omar Bongo
鄭義和	Zheng Yihe
洛朗 西曼	Laurent Seaman
方濟各 教宗	Pope Francis
埃松省	Essonne
奔跑吧	Run it
總司令	commander in chief
郭崇信	Guo Chongxin
南機廠 高雄	Nanji Factory Kaohsiung
马丁 鲍曼	Martin Bowman
小南門線	Xiaonanmen Line
žilina	žilina
國際扎普雷希奇足球俱樂部	international zapresic football club
教父 遊戲	godfather game
學甲區	School A District
拉法爾 雅尼基	Rafal Yaniki
所羅門 萊夫謝茨	Solomon Lefschetz
澳門特別行政區行政長官選舉委員會	Macao Special Administrative Region Chief Executive Election Committee
威廉 伯恩	William Byrne
李秋源	Li Qiuyuan
世界新聞	world news
路易斯 伊纳西奥 卢拉 达席尔瓦	Luis Inacio Lula da Silva
ln郵區	lnzip
鲍勃 赖利	bob riley
荷兰足球甲级联赛	Dutch Football League
換換愛	change love
虹桥综合交通枢纽	Hongqiao Comprehensive Transportation Hub
jive唱片公司	jive record label
鲁伊 帕特里西奥	Rui Patricio
林海峰 香港	Lam Hoi Fung Hong Kong
张同生	Zhang Tongsheng
悉尼 new south wales	sydney new south wales
郝治平	Hao Zhiping
議會民主制	parliamentary democracy
柏哥夫	Bogoff
祕魯搖滾	peru rock
达芒语	Damang
额尔古纳河	erguna river
惠山区	Huishan District
亞芬迪 阿庫普	Affendi Acup
英國廣播公司第一台	BBC One
none 卡齐米日	none Kazimierz
吳奇隆	Wu Qilong
中国语言	Chinese language
四川航空	Sichuan Airlines
馬紀壯	Ma Jizhuang
阿贾克斯足球俱乐部	ajax football club
军人	soldier
国务院议事协调机构	State Council Deliberation and Coordination Agency
none 骑兵师	none cavalry division
比利时首相列表	List of Prime Ministers of Belgium
越池市	Koshiike
崇拜 梁靜茹專輯	Worship Liang Jingru album
西班牙u	spanish u
鄭永潮	Zheng Yongchao
布拉漢姆	Brabham
哈利勒 人名	Khalil's name
英戈梅尔	Ingomel
第一代緬甸的蒙巴頓伯爵路易斯 蒙巴頓	Louis Mountbatten, 1st Earl of Mountbatten of Burma
芬蘭足球協會	Finnish Football Association
瑞典足球超級聯賽	Swedish Premier League
游芳枝	You Fangzhi
東倫敦	east london
米德法特	Midfart
獨立國家聯合體	Commonwealth of Independent States
马欣达 拉贾帕克萨	Mahinda Rajapaksa
西格瓦尔德亲王 乌普兰公爵	Prince Sigwald Duke of Uppland
謝路美 普倫斯	Xie Lumei Pullance
巴基斯坦穆斯林联盟	pakistan muslim league
阿卜杜勒 拉赫曼 帕日瓦克	Abdul Rahman Pariwak
馬克西米利安一世 神聖羅馬帝國	Maximilian I Holy Roman Empire
隋文帝	Emperor Wen of Sui
禧妃	Concubine Jubilee
科泽科德	Kozhikode
利古里亞語	Ligurian
澳洲英语	Australian English
埃迪 拉馬	Eddie Rama
zh classical 柬埔寨國家銀行	en classical National Bank of Cambodia
馬丁 費里曼	Martin Freeman
藏族	Tibetan
興山里	Xingshanli
緬甸總理	Prime Minister of Myanmar
葛乐夫	Grove
汪明荃	Wang Mingquan
瑞克 麦克卡伦	Rick McCarran
中国人民解放军空军司令员	Commander of the Air Force of the Chinese People's Liberation Army
耶日 什马伊津斯基	Jerzy Shmaidzinski
豪华轿车	Luxury car
鍾會	Zhonghui
卡列迪斯	Caledis
杨开慧	Yang Kaihui
金属乐队	metal band
肖扬	Xiao Yang
迈克尔 莫里斯 基拉宁	Michael Morris Killarin
音樂總監	Music Director
小町號列車	Komachi train
王剑虹	Wang Jianhong
中華民國國家安全局	National Security Bureau of the Republic of China
波士顿	Boston
塞浦路斯的亨利二世	Henry II of Cyprus
傑里米 邊沁	Jeremy Bentham
山﨑凌吾	Yama﨑Rigo
菲力克斯 施泰纳	Felix Steiner
鶴見聡貴	Tsurumi Tsubaki
卢西恩	Lucian
田村雄三	Tamura Yuzo
驪興閔氏	Li Xing Min
托尔讷河谷	torne valley
瓦尔达足球俱乐部	Varda Football Club
卡特利王国	Catley Kingdom
none 彼得 巴爾克嫩德	none peter balknend
中国人民解放军军衔	Chinese People's Liberation Army rank
伍斯特 馬薩諸塞州	Worcester Massachusetts
毛榮楷	Mao Rongkai
法蒂哈 布迪亚夫	Fatiha Budiaf
镇海区 宁波市	Zhenhai District Ningbo City
贝勒尼基三世	bereniki iii
手越增田	Tegoshi Masuda
孛儿帖	boer post
麻醉風暴	Anesthesia storm
kbs音乐银行	kbs music bank
全球城市人口排名	Global city population ranking
精选辑 迷失	Best Collection Lost
緩衝國	buffer state
多紀皇女	Princess of Toki
第三届夏赫里尔内阁	3rd Shahril Cabinet
山西龙城至盛足球俱乐部	Shanxi Longcheng Zhisheng Football Club
刺客教條 阿泰爾編年史	Assassin's Creed Chronicles of Altaïr
尤莉婭 弗拉基米羅芙娜 季莫申科	Yulia Vladimirovna Tymoshenko
格鲁吉亚国家足球队	georgia national football team
徐锦江	Xu Jinjiang
赤井川村	Akaigawa Village
碧昂絲 諾利斯	Beyonce Knowles
好想谈恋爱	I want to fall in love
b集團軍	b army
摩士曼自治市	Mossman Borough
太平洋标准时间	PST
久山町	Hisayama-cho
太原市滨河体育中心	Taiyuan Binhe Sports Center
文健輝	Wen Jianhui
约克郡与恒伯	Yorkshire and Humber
杨志今	Yang Zhijin
李熙	Li Xi
天璋院	Tianzhang Courtyard
查蘭 辛格	Charan Singh
辛尼 基達	Sinny Kida
不列颠皇家海军学院	Royal British Naval College
韦拔群	Wei Baqun
默哈伯莱什沃尔	Mahabaleshwar
不列顛尼亞球場	Britannia Stadium
畫家	painter
桓武天皇	Emperor Kanmu
卡塔尔	Qatar
姚冶誠	Yao Yecheng
北𣴓市	North City
港燈體育會	HK Electric Sports Club
阿尔及利亚足球协会	Algerian Football Association
張松輝	Zhang Songhui
瓦尔特 博特	walter bot
西班牙的瑪麗 泰蕾茲	Marie Therese of Spain
好萊德市	Hollyde
電影導演	Movie director
夏櫟	summer oak
葉傲冬	Ye Aodong
赵冲久	Zhao Chongjiu
淳君	Junjun
赫胥黎	Huxley
利比里亚大学	University of Liberia
中西區 香港	Central and Western District Hong Kong
立川市	Tachikawa
重庆话	Chongqing dialect
彭定康	Patten
白川由美	Yumi Shirakawa
蒂娜	Tina
斯拉夫神話	Slavic mythology
科堡	Coburg
陳公博	Chen Gongbo
希拉克略	Hiraclio
卡斯蒂利亚君主列表	List of Castile monarchs
平範子	Ping Fanzi
jp 藤原顕信	jp Fujiwara Takanobu
菲利普 拉金	Philip Larkin
尼敦 般斯	Niton Bance
皮斯托伊斯	Pistois
西大路站	West Road Station
中心城 dc漫画	central city dc comics
阿兰 摩尔	Alan Moore
黃金海岸總督	Governor of the Gold Coast
开伯尔 普什图省	Khyber Pashtun
港府政治顧問	Hong Kong government political adviser
渡辺国武	Watanabe Kunitake
馬保卡尼	mapaucani
杜蘭德盃	Durand Cup
德文 韦德	Devin Wade
民主社會黨	Democratic Socialist Party
法爾內賽家族	Farnese family
阿纳斯塔西娅 尼古拉耶芙娜 罗曼诺娃	Anastasia Nikolaevna Romanova
笑傲曇天	laughing proudly
西北大学	Northwest University
靈魂搖滾	soul rock
佩尔利 赛尔图	Pellley Celto
查尔顿竞技足球俱乐部	Charlton Athletic Football Club
曼彻斯特大学	University of Manchester
