ロック (音楽)	rock (music)
ヴァイマル共和政	Weimar Republic
エレクトロ・ハウス	electro house
ガリシア州	Galicia
オーム (競走馬)	Ohm (racehorse)
フェアウェイ (競走馬)	fairway (racehorse)
鳩山由紀夫	Yukio Hatoyama
サンデーサイレンス	sunday silence
パパイラス	Papyrus
フライングフォックス	flying fox
リンゴ・スター	apple star
横浜国際総合競技場	Yokohama International Stadium
ペネロピ (競走馬)	Penelope (racehorse)
イギリス領インド帝国	british indian empire
イングヴェイ・マルムスティーン	Yngwie Malmsteen
a summer best	a summer best
チルドレン・オブ・ボドム	Children of Bodom
ミネソタ州	Minnesota
メタル・ブレイド・レコーズ	metal blade records
静岡県	Shizuoka Prefecture
リーグ・ドゥ	league do
ブラック・サバス	black sabbath
ロサンゼルス・レイカーズ	los angeles lakers
東京事変	Tokyo Incidents
ストームバード	storm bird
ジョセフ・フッカー	Joseph Hooker
ナイトウィッシュ	nightwish
国民議会 (フランス)	National Assembly (France)
ケベック州	Quebec
ノーム・チョムスキー	Noam Chomsky
ジョージ1世 (イギリス王)	George I (King of England)
フェアトライアル	fair trial
クルゼイロec	cruzeiro ec
イーグルス	eagles
ドイツ・ブンデスリーガ2014-2015	German Bundesliga 2014-2015
福田康夫	Yasuo Fukuda
福岡県	Fukuoka Prefecture
デーヴァナーガリー	Devanagari
アイソノミー	isonomy
ミシガン大学	University of Michigan
ギャソーン・ギャソーン＝ハーディ (初代クランブルック伯爵)	Gasthorn Gasthorn-Hardy, 1st Earl of Cranbrook
マンハッタン	manhattan
アブルッツォ州	Abruzzo
河北省	Hebei
vfbシュトゥットガルト	vfb stuttgart
フレデリック・ロビンソン (初代ゴドリッチ子爵)	Frederick Robinson, 1st Viscount Goderich
ウェンブリー・スタジアム	wembley stadium
チャンセラーズヴィルの戦い	Battle of Chancellorsville
ジョン・ケリー	John Kelly
acfフィオレンティーナ	acf fiorentina
バイエルン・ミュンヘン	Bayern Munich
伊藤博文	Ito Hirobumi
キース・リチャーズ	Keith Richards
フレデリック・スタンリー (第16代ダービー伯爵)	Frederick Stanley, 16th Earl of Derby
フリードリヒ・シェリング	Friedrich Schelling
ティモ・トルキ	Timo Tolkki
セックス・ピストルズ	sex pistols
uefa euro 2016	uefa euro 2016
ダンス・パンク	dance punk
デインヒル	Danehill
サッカーノルウェー代表	Norway national football team
トマス・ホッブズ	Thomas Hobbes
ミラード・フィルモア	Millard Fillmore
セオドア・ルーズベルト	Theodore Roosevelt
新進党	New Progressive Party
コパ・アメリカ・センテナリオ	Copa America Centenario
ステイプルズ・センター	Staples Center
レインボー (バンド)	rainbow (band)
スペイン社会労働党	Spanish Socialist Labor Party
サッカーポルトガル代表	Portugal national football team
フレデリック・ハミルトン＝テンプル＝ブラックウッド (初代ダファリン侯爵)	Frederick Hamilton-Temple-Blackwood, 1st Marquess of Dufferin
ゲイリー・ムーア	Gary Moore
サッカーウクライナ代表	soccer ukraine national team
ウェールズ	wales
ルイス・カス	Lewis Cass
カウントフリート	count fleet
シルヴィオ・ベルルスコーニ	Silvio Berlusconi
ギブソン・es-335	Gibson es-335
ユーロ	Euro
フランス王国	Kingdom of France
ハングル	hangul
アレクサンドル・ズーリン	Alexander Zhulin
リチャード・ローティ	Richard Rorty
ジャイアンツコーズウェイ	Giant's Causeway
内閣官房長官	Chief Cabinet Secretary
欧州自由民主改革党	European Liberal Democratic Reform Party
アンドリュー・ジョンソン	Andrew Johnson
サッカーアイルランド共和国代表	Republic of Ireland football team
ジョージ・マクレラン	George McClellan
欧州議会議長	President of the European Parliament
ジョージア・ドーム	Georgia Dome
ビッグ・ブラザー・レコーディングス	big brother recordings
ドミートリー・メドヴェージェフ	Dmitry Medvedev
ジョン・ディーコン	John Deacon
アメリカ合衆国下院議長	Speaker of the United States House of Representatives
ロス・ロビンソン	Ross Robinson
プッリャ州	Apulia
ワキシー	waxy
ucサンプドリア	uc sampdoria
ジャクソン5	Jackson 5
アンリ・ベルクソン	Henri Bergson
ヴァンフォーレ甲府	Ventforet Kofu
カイリー・ミノーグ	Kylie Minogue
テッド・スティーヴンス	Ted Stevens
ハンガリー王国	Kingdom of Hungary
ザミンストレル	The Minstrel
ヨシフ・スターリン	Joseph Stalin
ジョン・アダムズ	John Adams
コールドプレイ	cold play
マザー・ラヴ・ボーン	mother love bone
エドワード8世 (イギリス王)	Edward VIII (King of England)
水原三星ブルーウィングス	Suwon Samsung Bluewings
ストームキャット	storm cat
フィリップ・シェリダン	Philip Sheridan
サッカーアメリカ合衆国女子代表	United States Women's National Soccer Team
ラザフォード・ヘイズ	Rutherford Hayes
コロラド州	Colorado
all the best! 1999-2009	all the best! 1999-2009
ジョー・バイデン	Joe Biden
デビッド・ロイド・ジョージ	David Lloyd George
サッカーアルメニア代表	armenia national football team
ティーン・ポップ	teen pop
playstation portable	playstation portable
ワトフォードfc	watford fc
ハートフォードシャー	hertfordshire
kリーグクラシック	k league classic
アーチボルド・プリムローズ (第5代ローズベリー伯爵)	Archibald Primrose, 5th Earl of Rosebery
オスマン帝国	Ottoman Empire
ドバイミレニアム	dubai millennium
ダニエル・ウェブスター	Daniel Webster
ブルページ	bull page
luna sea	luna sea
python	python
キリスト教民主主義 (イタリア 1942-1994)	Christian Democracy (Italy 1942-1994)
ウィル・アイ・アム	will.i.am
リッチモンド・ピータースバーグ方面作戦	Richmond-Petersburg Campaign
セルビア・クロアチア語	Serbo-Croatian
アーチ・エネミー	arch enemy
北バージニア軍	Army of Northern Virginia
ジョセフ・ジョンストン	Joseph Johnston
シン・リジィ	Thin Lizzy
jkt48	jkt48
国際サッカー連盟	international football federation
ガリレオ (競走馬)	Galileo (racehorse)
fcポルト	fc porto
北アイルランド	Northern Ireland
イラン語群	Iranian
フェアリーキング	fairy king
ジョージ2世 (イギリス王)	George II (King of England)
シナジー	synergy
seパルメイラス	se palmeiras
フェイエノールト・スタディオン	Feyenoord Stadion
ビーマイゲスト	be my guest
サザン・パシフィック鉄道	Southern Pacific Railroad
ラトビア	Latvia
fcソウル	fc seoul
ウィリアム・キャヴェンディッシュ＝ベンティンク (第3代ポートランド公爵)	William Cavendish-Bentinck, 3rd Duke of Portland
パリ・サンジェルマンfc	paris saint germain fc
スペース・ロック	space rock
iphone	iphone
オーペス	Opeth
広州恒大淘宝足球倶楽部	Guangzhou Evergrande Taobao Football Club
ピッツバーグ	Pittsburgh
faカップ	fa cup
ジェームズ・ガーフィールド	James Garfield
シャーリー・ダンジェロ	Shirley D'Angelo
フランソワ・ミッテラン	Francois Mitterrand
チェコ	Czech Republic
フリードリヒ・ハイエク	Friedrich Hayek
ジョージ・j・ミッチェル	George J. Mitchell
サーモン・チェイス	salmon chase
アレクサンドル・コジェーヴ	Alexandre Kojeve
文部科学省	Ministry of education
オリンピアコスfc	olympiacos fc
gackt	gackt
静岡市	Shizuoka City
プリメーラ・ディビシオン (メキシコ)	Primera Division (Mexico)
トマス・アクィナス	Thomas Aquinas
トム・クリステンセン	Tom Christensen
サウスカロライナ州	south carolina
サカナクション	Sakanaction
セビージャfc	sevilla fc
ウィリアム・ジェームズ	William James
sscナポリ	ssc napoli
メイン州	maine
インディアン戦争	indian war
ヴィットーリオ・エマヌエーレ3世	Vittorio Emanuele III
エドワード・ウッド (初代ハリファックス伯爵)	Edward Wood, 1st Earl of Halifax
フェニックス・サンズ	Phoenix Suns
ニンテンドー3ds	nintendo 3ds
大阪府	Osaka Prefecture
欧州連合	european union
ウズベキスタン	Uzbekistan
リンキン・パーク	linkin park
スタンリー・ボールドウィン	Stanley Baldwin
トスカーナ州	Tuscany
リパブリック・レコード	Republic Records
バイムレック	Baime Wreck
シリア文字	syrian letters
ダンシングブレーヴ	dancing brave
シモン・ペレス	Shimon Peres
マレー語	Malay
統一ロシア	united russia
岡田克也	Katsuya Okada
サッカースイス代表	Switzerland national football team
サッカーギリシャ代表	soccer greece national team
プリメーラ・ディビシオン (アルゼンチン)	Primera Division (Argentina)
パスカーレ・カメレンゴ	Pasquale Camerengo
サッカーイスラエル代表	Israeli national football team
アンゲラ・メルケル	Angela Merkel
島嶼ケルト語	Island Celtic
アラン・ジュペ	Alain Juppe
ルートヴィヒ・フォン・ミーゼス	Ludwig von Mises
テンプル・オブ・ザ・ドッグ	Temple of the Dog
ブルガリア	Bulgaria
セントルイス	St. Louis
ザフォニック	Zaphonic
メジャーリーグサッカー	major league soccer
ダンスインザダーク	dance in the dark
ニジェール・コンゴ語族	Niger-Congo family
ベガルタ仙台	Vegalta Sendai
ミノル (イギリスの競走馬)	Minoru (British racehorse)
ヴャチェスラフ・モロトフ	Vyacheslav Molotov
ラトロワンヌ	Latroine
香港	Hong Kong
フォーク・メタル	folk metal
ギャラントフォックス	Gallant Fox
マイバブー	My Baboo
ジョルジョ・ナポリターノ	Giorgio Napolitano
皇室	imperial family
ナイル・ロジャース	Nile Rodgers
第5軍団 (北軍)	V Corps (Northern)
エドワード・スタンリー (第17代ダービー伯爵)	Edward Stanley, 17th Earl of Derby
サンパウロ	sao paulo
ノース・ウェスト・イングランド	north west england
ゴードン・ブラウン	Gordon Brown
スペイン上院	Spanish Senate
リファール	Referral
コリン・パウエル	Colin Powell
ザカリー・テイラー	Zachary Taylor
バルセロナ	Barcelona
サッカーウェールズ代表	Wales national football team
カール・ポパー	Karl Popper
キングマンボ	king mambo
シャーリーハイツ	Shirley Heights
ヒューバート・h・ハンフリー	Hubert H. Humphrey
ポルトガル君主一覧	List of Portuguese monarchs
ウクライナ語	Ukrainian
リヴァプール	liverpool
テクニカルデスメタル	technical death metal
ロバート・ウォルポール	Robert Walpole
コマンド (競走馬)	command (racehorse)
バージニア大学	University of Virginia
ノーベル物理学賞	nobel prize in physics
レニー・クラヴィッツ	Lenny Kravitz
ベンジャミン・フランクリン	Benjamin Franklin
ブリティッシュコロンビア州	british columbia
d・h・ヒル	d.h. hill
グレンコー (競走馬)	Glencoe (racehorse)
strikeforce	strike force
リッチー・ブラックモア	Richie Blackmore
マレーシア	Malaysia
ベンジャミン・ハリソン	Benjamin Harrison
ロックサンド	rock sand
南スラヴ語群	South Slavic
インドネシア語	Indonesian
ウィリアム・ピット (初代チャタム伯爵)	William Pitt, 1st Earl of Chatham
アメリカ英語	american english
エセックス	Essex
スリラー (アルバム)	thriller (album)
ヘンリー・w・スローカム	Henry W. Slocum
アルド・モーロ	Aldo Moro
ハーミット	Hermit
best〜first things〜	best ~ first things ~
ハンブルク	Hamburg
ベルメッツ	Belmetz
フランシス・c・バーロー	Frances C. Barlow
トーマス・r・マーシャル	Thomas R. Marshall
